,Name,Age,Position,Club,Nationality
522, J. Ilicic,32,CF,Atalanta,Slovenia
523, B. Dragowski,22,GK,Fiorentina,Poland
524, P. Aranguiz,23,CAM,,Chile
525, I. Bennacer,22,CM,Milan,Algeria
526, Dodo,21,RB,Shakhtar Donetsk,Brazil
527, A. Bernabei,19,LB,Club Atletico Lanus,Argentina
528, Luis Alberto,27,CAM,Lazio,Spain
529, P. Max,26,LB,PSV,Germany
530, M. Normann,24,CDM,,Norway
531, R. Kent,23,LW,Rangers FC,England
532, L. Martinez Quarta,24,CB,Fiorentina,Argentina
533, J. Bogle,19,RWB,Sheffield United,England
534, M. Balotelli,29,ST,AC Monza,Italy
535, E. Alioski,28,LB,Leeds United,North Macedonia
536, J. Tanganga,21,RB,Tottenham Hotspur,England
537, T. Malacia,20,LB,Feyenoord,Netherlands
538, L. Geertruida,19,RB,Feyenoord,Netherlands
539, D. Dike,20,ST,Orlando City SC,United States
541, B. Yilmaz,34,ST,LOSC Lille,Turkey
542, Y. Carrasco,26,LM,Atletico Madrid,Belgium
543, T. Strakosha,25,GK,Lazio,Albania
544, R. Skov,24,LWB,TSG 1899 Hoffenheim,Denmark
545, Z. Vanheusden,20,CB,Standard de Liege,Belgium
546, V. Mykolenko,21,LB,Dynamo Kyiv,Ukraine
547, C. Clark,17,CAM,New York Red Bulls,United States
548, A. Witsel,31,CDM,Borussia Dortmund,Belgium
549, Koke,28,CM,Atletico Madrid,Spain
550, C. Aranguiz,31,CDM,Bayer 04 Leverkusen,Chile
551, M. Cash,22,RB,Aston Villa,England
552, E. Ndicka,20,CB,Eintracht Frankfurt,France
553, David Neres,23,LW,Ajax,Brazil
554, B. Badiashile,19,CB,AS Monaco,France
555, Jordi Alba,31,LB,FC Barcelona,Spain
556, M. Kovacic,26,CM,Chelsea,Croatia
557, Z. Celik,23,RB,LOSC Lille,Turkey
558, Carlos Soler,23,CM,Valencia CF,Spain
559, Y. Atal,24,RB,OGC Nice,Algeria
560, J. Teze,20,CB,PSV,Netherlands
561, A. Urzi,20,LM,Club Atletico Banfield,Argentina
562, Eduardo Quaresma,18,CB,Sporting CP,Portugal
563, M. Gotze,28,CAM,PSV,Germany
564, A. Rebic,26,LM,Milan,Croatia
565, T. Castagne,24,RB,Leicester City,Belgium
566, S. Lammers,23,ST,Atalanta,Netherlands
567, Oscar,22,CAM,Sevilla FC,Spain
568, Pepe,37,CB,FC Porto,Portugal
569, N. Ake,25,CB,Manchester City,Netherlands
570, Rafa,27,RM,SL Benfica,Portugal
571, F. Bustos,24,RB,Independiente,Argentina
572, J. Willock,20,CAM,Newcastle United,England
573, M. Thiaw,18,CB,FC Schalke 04,Germany
574, W. Rooney,34,CM,Derby County,England
575, Casemiro,28,CDM,Real Madrid,Brazil
576, R. Jimenez,29,ST,Wolverhampton Wanderers,Mexico
577, L. Shaw,24,LB,Manchester United,England
578, J. McGinn,25,CDM,Aston Villa,Scotland
579, O. Boscagli,22,CB,PSV,France
580, A. Tuanzebe,22,CB,Manchester United,England
581, F. Kadioglu,20,LM,Fenerbahce SK,Netherlands
582, E. Nketiah,21,ST,Arsenal,England
583, A. Mac Allister,21,CAM,Brighton & Hove Albion,Argentina
584, A. Karabec,16,CAM,Sparta Praha,Czech Republic
585, K. Walker,30,RB,Manchester City,England
586, Hector Bellerin,25,RB,Arsenal,Spain
587, L. Karius,27,GK,1. FC Union Berlin,Germany
588, A. Cragno,26,GK,Cagliari,Italy
589, M. Brozovic,27,CDM,Inter,Croatia
590, L. Torreira,24,CDM,Atletico Madrid,Uruguay
591, Luiz Felipe,23,CB,Lazio,Brazil
592, J. Kluivert,21,LM,RB Leipzig,Netherlands
593, A. Gomes,19,CAM,Boavista FC,England
594, M. Longstaff,20,CM,Newcastle United,England
595, J. Vasquez,21,CB,U.N.A.M.,Mexico
596, M. Karbownik,19,LB,Brighton & Hove Albion,Poland
597, T. Pembele,17,RB,Paris Saint-Germain,France
598, M. Lovato,20,CB,Hellas Verona,Italy
599, D. Man,21,RW,Parma,Romania
600, I. Gundogan,29,CM,Manchester City,Germany
601, L. Trossard,25,LM,Brighton & Hove Albion,Belgium
602, I. Toney,24,ST,Brentford,England
603, A. Lookman,22,LM,Fulham,England
605, M. Hamsik,32,CM,IFK Goteborg,Slovakia
606, K. Navas,33,GK,Paris Saint-Germain,Costa Rica
607, J. Cuadrado,32,RB,Juventus,Colombia
608, X. Schlager,22,CDM,VfL Wolfsburg,Austria
609, K. Sardella,18,RB,RSC Anderlecht,Belgium
610, J. Larsen,29,RM,Udinese,Denmark
611, D. Tadic,31,LW,Ajax,Serbia
612, M. Cornet,23,LB,Olympique Lyonnais,Ivory Coast
613, Gedson Fernandes,21,CM,Galatasaray SK,Portugal
614, E. Eze,22,LM,Crystal Palace,England
615, J. Garner,19,CDM,Nottingham Forest,England
616, Jovane Cabral,22,LW,Sporting CP,Cape Verde
617, T. Dolan,18,RW,Blackburn Rovers,England
618, B. Mendy,25,LB,Manchester City,France
619, W. Farinez,22,GK,Racing Club de Lens,Venezuela
620, A. Lafont,21,GK,FC Nantes,France
621, R. Funes Mori,29,ST,Monterrey,Argentina
622, M. Barrow,21,CAM,Bologna,Gambia
623, Chiquinho,24,CAM,SL Benfica,Portugal
624, M. Shaparenko,21,CM,Dynamo Kyiv,Ukraine
625, Jesus Navas,34,RB,Sevilla FC,Spain
626, C. Musonda,23,RM,Chelsea,Belgium
627, F. Thauvin,27,RW,Olympique de Marseille,France
628, A. Rabiot,25,CM,Juventus,France
629, 20 P. Parra,25,CAM,Curico Unido,Chile
630, J. Justin,22,LWB,Leicester City,England
631, R. Doan,22,RM,DSC Arminia Bielefeld,Japan
632, J. Ikone,22,RM,LOSC Lille,France
633, A. Kral,22,CDM,Spartak Moscow,Czech Republic
634, A. Hickey,18,LB,Bologna,Scotland
635, O. Dorley,21,CDM,SK Slavia Praha,Liberia
636, K. Sulemana,18,LW,FC Nordsjaelland,Ghana
637, Goncalo Inacio,18,CB,Sporting CP,Portugal
638, David Silva,34,CAM,Real Sociedad,Spain
639, Kepa,25,GK,Chelsea,Spain
640, R. Bazoer,23,CB,Vitesse,Netherlands
641, T. Bakayoko,25,CDM,Napoli,France
642, G. Kobel,22,GK,VfB Stuttgart,Switzerland
643, J. Torunarigha,22,CB,Hertha BSC,Germany
644, Miranda,20,LB,Real Betis,Spain
645, C. Vela,31,RW,Los Angeles FC,Mexico
646, W. Barrios,26,CDM,,Colombia
647, C. Tolisso,25,CM,FC Bayern Munchen,France
648, C. Lenglet,25,CB,FC Barcelona,France
649, R. Koch,23,CB,Leeds United,Germany
650, Puado,22,LM,RCD Espanyol,Spain
651, T. Parrott,18,ST,Ipswich Town,Republic of Ireland
652, Alex Telles,27,LB,Manchester United,Brazil
653, K. Ajer,22,CB,Celtic,Norway
654, K. Iheanacho,23,ST,Leicester City,Nigeria
655, W. Endo,27,CDM,VfB Stuttgart,Japan
656, C. Under,22,RM,Leicester City,Turkey
657, Pedro Diaz,22,CM,Real Sporting de Gijon,Spain
658, P. Struijk,20,CB,Leeds United,Netherlands
659, J. Arp,20,ST,Bayern Munchen II,Germany
660, C. Bravo,37,GK,Real Betis,Chile
661, Sergio Busquets,31,CDM,FC Barcelona,Spain
662, J. Lingard,27,CAM,West Ham United,England
663, M. Dembele,23,ST,Atletico Madrid,France
665, D. Brooks,22,RM,Bournemouth,Wales
666, G. Mancini,24,CB,Roma,Italy
667, Z. Steffen,25,GK,Manchester City,United States
668, H. Mejbri,17,CAM,Manchester United,France
669, R. Nainggolan,32,CAM,Cagliari,Belgium
670, T. Kehrer,23,CB,Paris Saint-Germain,Germany
671, M. Berisha,22,ST,FC Red Bull Salzburg,Germany
672, G. Busio,18,CM,Sporting Kansas City,United States
673, R. Matondo,19,LM,Stoke City,Wales
674, S. Chukwueze,21,RM,Villarreal CF,Nigeria
675, M. Solomon,20,RM,Shakhtar Donetsk,Israel
676, F. Ribery,37,CF,Fiorentina,France
677, H. Maguire,27,CB,Manchester United,England
678, S. Haller,26,ST,Ajax,Ivory Coast
679, D. Calabria,23,RB,Milan,Italy
680, M. Rashica,24,CF,SV Werder Bremen,Kosovo
681, Marcelo,32,LB,Real Madrid,Brazil
682, J. Boateng,31,CB,FC Bayern Munchen,Germany
683, M. Icardi,27,ST,Paris Saint-Germain,Argentina
684, Mario Rui,29,LB,Napoli,Portugal
685, E. Pulgar,26,CDM,Fiorentina,Chile
686, K. Balde,25,ST,Sampdoria,Senegal
687, J. Reine-Adelaide,22,CM,OGC Nice,France
688, F. Kruger,21,ST,FC Erzgebirge Aue,Germany
689, M. Ozil,31,CAM,Fenerbahce SK,Germany
690, O. Giroud,33,ST,Chelsea,France
691, A. Oxlade-Chamberlain,26,CM,Liverpool,England
692, J. Stones,26,CB,Manchester City,England
693, Q. Promes,28,CAM,Spartak Moscow,Netherlands
694, T. Lemar,24,LM,Atletico Madrid,France
695, O. Romero,27,RM,San Lorenzo de Almagro,Paraguay
696, V. Lindelof,25,CB,Manchester United,Sweden
697, A. Maitland-Niles,22,CDM,West Bromwich Albion,England
698, C. Stengs,21,RW,AZ Alkmaar,Netherlands
699, P. Schuurs,20,CB,Ajax,Netherlands
700, A. Yusuf,19,CDM,IFK Goteborg,Nigeria
701, C. Cowell,16,ST,San Jose Earthquakes,United States
702, A. Broja,18,ST,Vitesse,Albania
703, M. Mitaj,16,LB,AEK Athens,Albania
704, D. Fofana,17,ST,Molde FK,Ivory Coast
705, E. Hernandez,32,RM,Cruz Azul,Mexico
706, A. Ramsey,29,CM,Juventus,Wales
707, Roberto Firmino,28,CF,Liverpool,Brazil
708, R. Tapia,24,CDM,RC Celta,Peru
709, H. Wilson,23,CAM,Cardiff City,Wales
710, T. Adarabioyo,22,CB,Fulham,England
711, N. Bustos,21,ST,Girona FC,Argentina
712, D. Livakovic,25,GK,Dinamo Zagreb,Croatia
713, O. Solet,20,CB,FC Red Bull Salzburg,France
714, L. Maina,21,RM,Hannover 96,Germany
715, J. Veerman,21,CM,SC Heerenveen,Netherlands
716, M. Palacios,18,CM,FC Basel 1893,Argentina
717, Pedrinho,22,RM,SL Benfica,Brazil
718, W. Faghir,16,ST,Vejle Boldklub,Denmark
719, N. Fagioli,19,CM,Juventus,Italy
720, G. Chiellini,35,CB,Juventus,Italy
721, M. Hummels,31,CB,Borussia Dortmund,Germany
722, T. Roberts,21,CAM,Leeds United,Wales
723, Galeno,22,LM,SC Braga,Brazil
724, J. Moder,21,CDM,Brighton & Hove Albion,Poland
725, A. Bayindir,22,GK,Fenerbahce SK,Turkey
728, Thiago Silva,35,CB,Chelsea,Brazil
729, Zubeldia,23,CB,Real Sociedad,Spain
730, M. Gibbs-White,20,CAM,Wolverhampton Wanderers,England
731, J. Hernandez,21,ST,Getafe CF,Colombia
732, K. Mavropanos,22,CB,VfB Stuttgart,Greece
733, Arthur Cabral,22,ST,FC Basel 1893,Brazil
734, Paulinho,31,CM,Guangzhou Evergrande Taobao FC,Brazil
735, A. Yarmolenko,30,RM,West Ham United,Ukraine
736, Deulofeu,26,LM,Udinese,Spain
737, F. Onyeka,22,CDM,FC Midtjylland,Nigeria
738, K. Moore,27,ST,Cardiff City,Wales
739, R. Bentancur,23,CM,Juventus,Uruguay
740, I. Diop,23,CB,West Ham United,France
741, E. Mendy,28,GK,Chelsea,Senegal
742, R. Cannon,22,RWB,Boavista FC,United States
743, A. Maier,21,CM,DSC Arminia Bielefeld,Germany
744, R. Hack,21,LM,1. FC Nurnberg,Germany
745, B. Aaronson,19,CAM,FC Red Bull Salzburg,United States
746, M. Stekelenburg,37,GK,Ajax,Netherlands
747, Danilo,28,RB,Juventus,Brazil
748, M. Batshuayi,26,ST,Crystal Palace,Belgium
749, S. Lainer,27,RB,Borussia Monchengladbach,Austria
750, A. Harit,23,LM,FC Schalke 04,Morocco
751, J. Bijlow,22,GK,Feyenoord,Netherlands
752, L. Reis,20,CM,VfL Osnabruck,Netherlands
753, O. Kokcu,19,CM,Feyenoord,Turkey
754, L. Fernandez,21,CAM,Tigres U.A.N.L.,Uruguay
755, B. Verbruggen,17,GK,RSC Anderlecht,Netherlands
756, I. Zabarnyi,17,CB,Dynamo Kyiv,Ukraine
757, Mingueza,21,CB,FC Barcelona,Spain
758, Pique,33,CB,FC Barcelona,Spain
759, Oscar,28,CAM,Shanghai SIPG FC,Brazil
760, J. Draxler,26,CAM,Paris Saint-Germain,Germany
761, J. Vestergaard,27,CB,Southampton,Denmark
762, P. Zielinski,26,CM,Napoli,Poland
763, R. Zobnin,26,CDM,Spartak Moscow,Russia
764, J. Tah,24,CB,Bayer 04 Leverkusen,Germany
765, Matheus Pereira,24,CAM,West Bromwich Albion,Brazil
766, J. Lewis,22,LB,Newcastle United,Northern Ireland
767, K. Diatta,21,RM,AS Monaco,Senegal
768, M. Muldur,21,RB,Sassuolo,Turkey
769, M. Rogers,17,LW,Lincoln City,England
770, M. Dahoud,24,CM,Borussia Dortmund,Germany
771, J. Bruun Larsen,21,LW,RSC Anderlecht,Denmark
772, M. Svanberg,21,CM,Bologna,Sweden
773, J. Dasilva,21,CM,Brentford,England
774, H. Abe,21,LM,FC Barcelona,Japan
775, Abel Ruiz,20,ST,SC Braga,Spain
776, S. Cordova,23,LM,Club America,Mexico
777, J. Campuzano,24,CDM,Boca Juniors,Colombia
778, L. Majer,22,CAM,Dinamo Zagreb,Croatia
779, S. Ormeno,26,ST,Puebla FC,Peru
780, Azpilicueta,30,RB,Chelsea,Spain
781, Douglas Costa,29,LM,FC Bayern Munchen,Brazil
782, Fred,27,CDM,Manchester United,Brazil
783, M. Meyer,24,LM,1. FC Koln,Germany
785, A. Robben,36,RM,FC Groningen,Netherlands
786, Fernandinho,35,CDM,Manchester City,Brazil
787, G. Higuain,32,ST,Inter Miami,Argentina
788, J. Tarkowski,27,CB,Burnley,England
789, N. Elvedi,23,CB,Borussia Monchengladbach,Switzerland
790, R. Sallai,23,RM,SC Freiburg,Hungary
791, R. Alvarado,21,RM,Cruz Azul,Mexico
792, L. Orellano,20,RW,Velez Sarsfield,Argentina
793, Y. Musah,17,RM,Valencia CF,United States
794, A. Truffert,18,LB,Stade Rennais FC,France
795, I. Rakitic,32,CM,Sevilla FC,Croatia
796, J. King,28,ST,Everton,Norway
797, Otavio,25,LM,FC Porto,Brazil
798, O. Watkins,24,ST,Aston Villa,England
799, A. Morelos,24,ST,Rangers FC,Colombia
800, K. Piatek,25,ST,Hertha BSC,Poland
801, J. Kenny,23,RB,Celtic,England
802, O. Pineda,24,RM,Cruz Azul,Mexico
803, A. Onana,24,GK,Ajax,Cameroon
804, M. Cuisance,20,CM,Olympique de Marseille,France
805, K. Malong,24,CDM,1. FSV Mainz 05,Cameroon
806, Stephen Eustaquio,23,CDM,FC Pacos de Ferreira,Canada
807, L. Cacace,19,LWB,Sint-Truidense VV,New Zealand
808, I. Poveda,20,RM,Leeds United,England
809, M. Salisu,21,CB,Southampton,Ghana
810, L. Provod,23,LM,SK Slavia Praha,Czech Republic
811, P. Hincapie,18,CB,Club Atletico Talleres,Ecuador
812, L. Advincula,30,RB,Rayo Vallecano,Peru
813, A. Kramaric,29,ST,TSG 1899 Hoffenheim,Croatia
814, N. Phillips,23,CB,Liverpool,England
815, Y. Adli,19,CM,FC Girondins de Bordeaux,France
816, Matheus Nunes,21,CM,Sporting CP,Brazil
817, Munir,24,ST,Sevilla FC,Morocco
818, J. Weigl,24,CM,SL Benfica,Germany
819, L. Robertone,23,CAM,UD Almeria,Argentina
820, M. Rojas,24,CAM,Racing Club,Paraguay
821, D. McNeil,20,LM,Burnley,England
822, S. Diop,20,RM,AS Monaco,France
823, J. Branthwaite,18,CB,Blackburn Rovers,England
824, J. Zirkzee,19,ST,Parma,Netherlands
825, Fabio Vieira,20,CAM,FC Porto,Portugal
826, G. Ochoa,34,GK,Club America,Mexico
827, Lucas Moura,27,RM,Tottenham Hotspur,Brazil
828, S. Vrsaljko,28,RB,Atletico Madrid,Croatia
829, P. Onuachu,26,ST,KRC Genk,Nigeria
830, D. Lukebakio,22,RM,Hertha BSC,Belgium
831, M. Pedersen,20,RB,Molde FK,Norway
832, K. Calhanoglu,17,LB,FC Schalke 04,Germany
833, A. Hackford,16,ST,Sheffield United,England
834, Y. Soteldo,23,LM,Toronto FC,Venezuela
835, M. Lazzari,26,RM,Lazio,Italy
836, V. Nelsson,21,CB,FC Kobenhavn,Denmark
837, Marc Roca,23,CDM,FC Bayern Munchen,Spain
838, G. Bazunu,18,GK,Rochdale,Republic of Ireland
839, L. Arriagada,18,ST,,Chile
840, Rafael Toloi,29,CB,Atalanta,Italy
841, W. Ben Yedder,29,ST,AS Monaco,France
842, Allan,29,CM,Everton,Brazil
843, A. Florenzi,29,RB,Paris Saint-Germain,Italy
844, A. Januzaj,25,RW,Real Sociedad,Belgium
845, R. Loftus-Cheek,24,RM,Fulham,England
846, A. Sorloth,24,ST,RB Leipzig,Norway
847, D. Sanchez,24,CB,Tottenham Hotspur,Colombia
848, J. Jankto,24,LM,Sampdoria,Czech Republic
849, P. Hercher,24,RB,1. FC Kaiserslautern,Germany
851, T. Pukki,30,ST,Norwich City,Finland
852, A. Lacazette,29,ST,Arsenal,France
853, G. Xhaka,27,CDM,Arsenal,Switzerland
854, T. Meunier,28,RB,Borussia Dortmund,Belgium
855, J. Willems,26,LWB,Eintracht Frankfurt,Netherlands
856, A. Sanabria,24,ST,Torino,Paraguay
857, A. Diallo,24,CB,Paris Saint-Germain,Senegal
858, U. Cakir,24,GK,Trabzonspor,Turkey
859, C. Montes,23,CB,Monterrey,Mexico
860, Oswaldinato,28,ST,Flamengo,Brazil
861, I. Radu,23,GK,Inter,Romania
862, P. Bamford,26,ST,Leeds United,England
863, N. Maupay,23,ST,Brighton & Hove Albion,France
864, Alisson,27,GK,Liverpool,Brazil
865, Wu Lei,28,ST,RCD Espanyol,China PR
866, A. Nubel,23,GK,FC Bayern Munchen,Germany
867, E. Bailly,26,CB,Manchester United,Ivory Coast
868, H. Choudhury,22,CDM,Leicester City,England
869, J. Harrison,23,LM,Leeds United,England
870, O. Mangala,22,CM,VfB Stuttgart,Belgium
871, D. Sterling,20,RB,Chelsea,England
872, Luis Maximiano,21,GK,Sporting CP,Portugal
873, L. Thomas,19,LB,Leicester City,England
874, Z. Laci,17,CB,AEK Athens,Slovenia
875, David Luiz,33,CB,Arsenal,Brazil
876, M. Sissoko,30,CDM,Tottenham Hotspur,France
877, N. Otamendi,32,CB,SL Benfica,Argentina
878, Thiago Mendes,28,CDM,Olympique Lyonnais,Brazil
879, R. Christie,25,CAM,Celtic,Scotland
880, S. Vegas,23,CB,Monterrey,Chile
881, Pablo Maffeo,22,RB,SD Huesca,Spain
882, F. Woodman,23,GK,Swansea City,England
883, J. Rodriguez,26,ST,Cruz Azul,Uruguay
884, Alena,22,CM,Getafe CF,Spain
885, M. Terrier,23,ST,Stade Rennais FC,France
886, E. Salcedo,18,CF,Hellas Verona,Italy
887, C. Richards,20,CB,TSG 1899 Hoffenheim,United States
888, Alex Sandro,29,LB,Juventus,Brazil
889, Danilo Pereira,28,CDM,Paris Saint-Germain,Portugal
890, R. Ibarra,29,RM,Club Atlas,Ecuador
891, S. Dursun,28,ST,SV Darmstadt 98,Germany
892, N. Keita,25,CM,Liverpool,Guinea
893, M. Holgate,23,CB,Everton,England
894, C. Adams,23,ST,Southampton,Scotland
895, A. Claude-Maurice,22,CM,OGC Nice,France
896, N. Milenkovic,22,CB,Fiorentina,Serbia
897, A. Gouiri,20,LW,OGC Nice,France
898, K. Piatkowski,20,CB,Rakow Czestochowa,Poland
899, P. Kalulu,20,RB,Milan,France
900, F. Quagliarella,37,ST,Sampdoria,Italy
902, I. Perisic,31,LM,Inter,Croatia
903, Sergi Roberto,28,RB,FC Barcelona,Spain
904, M. Hinteregger,27,CB,Eintracht Frankfurt,Austria
905, Carvajal,28,RB,Real Madrid,Spain
906, A. Milik,26,ST,Olympique de Marseille,Poland
907, D. Machis,27,LM,Granada CF,Venezuela
908, O. Vlachodimos,26,GK,SL Benfica,Greece
909, T. Cantwell,22,LM,Norwich City,England
910, G. Dzhikiya,26,CB,Spartak Moscow,Russia
911, J. Brekalo,22,LM,VfL Wolfsburg,Croatia
912, R. Brewster,20,ST,Sheffield United,England
913, L. Ferguson,20,CM,Aberdeen,Scotland
914, J. Lindstrom,20,CAM,Brondby IF,Denmark
915, Bryan Gil,19,LM,SD Eibar,Spain
916, Song Min Kyu,20,LM,Pohang Steelers,Korea Republic
917, T. Coulibaly,19,LM,VfB Stuttgart,France
918, J. Kaminski,18,LM,Lech Poznan,Poland
919, Andreas Pereira,24,CAM,Lazio,Brazil
920, Lucas Vazquez,29,RW,Real Madrid,Spain
921, Ederson,26,GK,Manchester City,Brazil
922, D. Rugani,25,CB,Cagliari,Italy
923, P. Berg,22,CM,FK Bodo/Glimt,Norway
924, N. Mileusnic,26,LM,Randers FC,Australia
925, S. van den Berg,18,CB,Preston North End,Netherlands
926, C. Casseres Jr,20,CDM,New York Red Bulls,Venezuela
927, I. Jakobs,20,LM,1. FC Koln,Germany
928, Luiz Gustavo,32,CDM,Fenerbahce SK,Brazil
929, R. Miyaichi,27,RM,FC St. Pauli,Japan
930, C. Mbemba,25,CB,FC Porto,DR Congo
931, V. Lazaro,24,RM,Borussia Monchengladbach,Austria
932, M. Politano,26,RM,Napoli,Italy
933, G. Avalos,29,ST,Argentinos Juniors,Paraguay
934, A. Robinson,22,LB,Fulham,United States
935, J. Foyth,22,CB,Villarreal CF,Argentina
936, J. Ekkelenkamp,20,CAM,Ajax,Netherlands
937, N. Perez,20,CB,Granada CF,Argentina
938, U. Racic,22,CM,Valencia CF,Serbia
939, N. Capaldo,21,CM,Boca Juniors,Argentina
940, J. Antiste,17,ST,Toulouse Football Club,France
941, H. Lloris,33,GK,Tottenham Hotspur,France
942, Javi Martinez,31,CDM,FC Bayern Munchen,Spain
943, M. ter Stegen,28,GK,FC Barcelona,Germany
944, Joao Mario,27,CM,Sporting CP,Portugal
945, S. Sensi,24,CM,Inter,Italy
946, A. Danjuma,23,LM,Bournemouth,Netherlands
947, Alex Collado,21,RW,FC Barcelona,Spain
948, J. Pohjanpalo,25,ST,1. FC Union Berlin,Finland
949, J. Boga,23,LM,Sassuolo,Ivory Coast
950, T. Fosu-Mensah,22,RB,Bayer 04 Leverkusen,Netherlands
951, C. Kouame,22,ST,Fiorentina,Ivory Coast
952, T. Campbell,20,ST,Stoke City,England
953, B. Mbeumo,20,RW,Brentford,France
954, O. Kossounou,19,CB,Club Brugge KV,Ivory Coast
955, Thierry Correia,21,RB,Valencia CF,Portugal
956, J. Leweling,19,RW,SpVgg Greuther Furth,Germany
957, T. Harwood-Bellis,18,CB,Blackburn Rovers,England
958, J. Enciso,16,RW,Club Libertad,Paraguay
959, Nani,33,LW,Orlando City SC,Portugal
960, Alexandre Pato,30,ST,Orlando City SC,Brazil
961, K. Casteels,28,GK,VfL Wolfsburg,Belgium
962, D. da Costa,26,RWB,1. FSV Mainz 05,Germany
963, William Carvalho,28,CDM,Real Betis,Portugal
965, M. Dembele,32,CM,Guangzhou R&F FC,Belgium
966, M. Pjanic,30,CM,FC Barcelona,Bosnia Herzegovina
967, C. Benteke,29,ST,Crystal Palace,Belgium
968, T. Courtois,28,GK,Real Madrid,Belgium
969, C. Bakambu,29,ST,Beijing Sinobo Guoan FC,DR Congo
970, D. Ward,27,GK,Leicester City,Wales
971, Rui Silva,26,GK,Granada CF,Portugal
972, M. Borja,27,ST,Junior FC,Colombia
973, L. Waldschmidt,24,CF,SL Benfica,Germany
974, J. Bednarek,24,CB,Southampton,Poland
975, J. Bamba,24,LM,LOSC Lille,France
976, M. Vargas,23,LW,RCD Espanyol,Argentina
977, M. Jensen,24,CM,Brentford,Denmark
978, Joaquin,24,CB,Real Valladolid CF,Spain
979, Diogo Costa,20,GK,FC Porto,Portugal
980, M. Sarr,21,CB,FC Porto,France
981, P. Cutrone,22,ST,Valencia CF,Italy
982, L. Zidane,22,GK,Rayo Vallecano,France
983, M. Guehi,19,CB,Swansea City,England
984, C. Dagba,21,RB,Paris Saint-Germain,France
985, D. Martinez,22,CB,River Plate,Paraguay
986, D. Popov,21,CB,Dynamo Kyiv,Ukraine
987, A. Gomez,18,LB,Boavista FC,Mexico
988, D. Sarmiento,17,LW,Estudiantes de La Plata,Argentina
989, E. Anderson,17,CAM,Newcastle United,Scotland
990, D. Ayala,17,CDM,Estudiantes de La Plata,Argentina
991, I. Saranic,17,RW,Dinamo Zagreb,Croatia
992, Cesc Fabregas,33,CM,AS Monaco,Spain
993, Nacho Fernandez,30,CB,Real Madrid,Spain
994, E. Mena,31,LB,Racing Club,Chile
995, Alex Moreno,27,LB,Real Betis,Spain
996, A. Zambo Anguissa,24,CM,Fulham,Cameroon
997, M. Romero,21,ST,PSV,Argentina
998, K. Walker-Peters,23,RB,Southampton,England
999, A. Penaranda,23,ST,,Venezuela
1000, T. Chong,20,LW,Club Brugge KV,Netherlands
1001, J. Gelhardt,18,ST,Leeds United,England
1002, K. Taylor,18,CM,Ajax,Netherlands
1003, J. St. Juste,23,CB,1. FSV Mainz 05,Netherlands
1004, Gelson Martins,25,LM,AS Monaco,Portugal
1005, M. Marega,29,ST,FC Porto,Mali
1006, Borja Mayoral,23,ST,Roma,Spain
1007, M. Akanji,24,CB,Borussia Dortmund,Switzerland
1008, Ayrton,23,LB,Spartak Moscow,Brazil
1009, A. Ramsdale,22,GK,Sheffield United,England
1010, Ruben Vinagre,21,LWB,Famalicao,Portugal
1011, S. Longstaff,22,CM,Newcastle United,England
1012, S. Bornauw,21,CB,1. FC Koln,Belgium
1013, D. Levitt,19,CM,,Wales
1014, D. Sanderson,20,CB,Sunderland,England
1015, B. Omeragic,18,CB,FC Zurich,Switzerland
1016, Vinicius,25,ST,Tottenham Hotspur,Brazil
1017, Nico Melamed,19,LM,RCD Espanyol,Spain
1018, M. Caicedo,18,CM,Brighton & Hove Albion,Ecuador
1019, Quaresma,36,RW,Vitoria Guimaraes,Portugal
1020, L. Podolski,35,CAM,Antalyaspor,Germany
1021, Falcao,34,ST,Galatasaray SK,Colombia
1022, P. Gulacsi,30,GK,RB Leipzig,Hungary
1023, P. Billing,24,CM,Bournemouth,Denmark
1024, E. Unal,23,ST,Getafe CF,Turkey
1025, J. Bowen,23,RM,West Ham United,England
1026, Hwang Hee Chan,24,ST,RB Leipzig,Korea Republic
1028, D. Ings,27,ST,Southampton,England
1029, K. Volland,27,ST,AS Monaco,Germany
1030, J. Veretout,27,CDM,Roma,France
1031, N. Pope,28,GK,Burnley,England
1032, J. Musso,26,GK,Udinese,Argentina
1033, G. Di Lorenzo,26,RB,Napoli,Italy
1034, Everton,24,LM,SL Benfica,Brazil
1035, J. Meneses,27,LM,Club Leon,Chile
1036, R. van Drongelen,21,CB,Hamburger SV,Netherlands
1037, L. Pellegrini,21,LB,Genoa,Italy
1038, I. Diveev,20,CB,PFC CSKA Moscow,Russia
1039, F. Balogun,18,ST,Arsenal,England
1040, Marvin,20,RW,Real Madrid,Spain
1041, R. Rodriguez,27,LB,Torino,Switzerland
1042, G. Maripan,26,CB,AS Monaco,Chile
1043, Y. Mina,25,CB,Everton,Colombia
1044, R. Bensebaini,25,LB,Borussia Monchengladbach,Algeria
1045, C. Acevedo,24,GK,Santos Laguna,Mexico
1046, R. Vargas,21,LM,FC Augsburg,Switzerland
1047, 18 M. Safonov,18,GK,FC Krasnodar,Russia
1048, F. Vera,20,CM,Argentinos Juniors,Argentina
1049, Gonzalo Villar,22,CM,Roma,Spain
